推數,噓數,文章分數,文章作者,文章名稱,發表時間
16,2,14,Government (政府),[問卦] 新娘來敬酒 拉住我衣袖又放開讓我走 怎辦,Fri Oct  2 11:39:28 2020
61,26,35,yank0612 (魯宅),[爆卦] 支那垃圾賤畜集體高潮,Fri Oct  2 14:10:22 2020
14,5,9,frogcty (小蛙),[問卦] 內湖區的東湖大停電，能幹嘛,Wed Oct  7 19:13:47 2020
4,2,2,wang19980531 (中立評論員),[問卦] 在台灣活得這麼爽 台灣哪可能輸出？,Wed Oct  7 18:08:03 2020
8,3,5,songgood (ilovegoodgame),[新聞] 違規左轉害死重機大學生情侶檔 預拌水泥,Wed Oct  7 18:20:30 2020
23,5,18,saiulbb (#KEEP MLB GREAT!),[問卦] 露營初新手從哪開始起步比較好的八卦阿？,Wed Oct  7 20:29:12 2020
1,0,1,tatty5566 ( ),[問卦] 有沒有拉姆齊Ramsay的八卦,Fri Oct  2 11:55:11 2020
1,2,-1,KahoJyumonji (Kahojyumonji),[新聞] 平林社區性平小旅行 帶動疫情後雙溪觀光,Wed Oct  7 20:41:07 2020
3,1,2,ntpuisbest (阿龍),[問卦] 每個診所醫生都台大主治的八卦,Fri Oct  2 13:21:36 2020
19,0,19,iamshana (CANINE力集中在一些重要S),[新聞] 「深入敵營」你儂我儂親密互動 林俊憲親,Fri Oct  2 14:14:41 2020
11,2,9,godgan (大俠巴西龜),[問卦] 有沒有哆啦a夢在武肺期間還破紀錄的八卦,Wed Oct  7 16:56:10 2020
14,2,12,GGINDOWBOW (吃肥肥裝頹頹),[問卦] 蛋黃酥是不是月餅中的經典？,Fri Oct  2 12:20:45 2020
76,4,72,ok8752665 ()()()()()()()()()()()(),[問卦] 川普死掉會怎樣,Fri Oct  2 13:15:19 2020
6,0,6,linhsiuwei (清心寡慾的天煞孤星),[問卦] 感覺行為沉淪了怎麼辦,Fri Oct  2 12:13:50 2020
4,1,3,Starcraft3 (小藥丸),[新聞] 又出包!實名制口罩僅2層沒有熔噴不織布,Wed Oct  7 21:10:09 2020
14,1,13,brokenback3 (3),[問卦] 川普第一次參加選舉就能當選美國總統？,Fri Oct  2 11:25:50 2020
19,2,17,andy199113 (Andy),[新聞] 男拾獲疑「龍涎香」石頭 鑑定結果出爐「,Wed Oct  7 21:10:34 2020
6,3,3,sowbox (sowbox),[問卦] 家裡跑出野生螃蟹怎麼辦,Wed Oct  7 19:20:08 2020
0,0,0,GeraldLiu (wolver),[問卦] 連罵人的嘴型也要馬賽克了嗎？,Fri Oct  2 13:33:54 2020
